,Name,Link
347,Morgan Freeman,/name/nm0000151/?ref_=tt_ov_st
348,Philippe Noiret,/name/nm0634159/?ref_=tt_ov_st
349,George C. Scott,/name/nm0001715/?ref_=tt_ov_st
350,George MacKay,/name/nm1126657/?ref_=tt_ov_st
351,Vince Vaughn,/name/nm0000681/?ref_=tt_ov_st
352,Mone Kamishiraishi,/name/nm4759838/?ref_=tt_ov_st
353,Kathryn McGuire,/name/nm0570230/?ref_=tt_ov_st
354,Harry Connick Jr.,/name/nm0001065/?ref_=tt_ov_st
355,Inge Landgut,/name/nm0484737/?ref_=tt_ov_st
356,Bibi Andersson,/name/nm0000761/?ref_=tt_ov_st
357,Paulette Goddard,/name/nm0002104/?ref_=tt_ov_st
358,Audrey Tautou,/name/nm0851582/?ref_=tt_ov_st
359,Sean Young,/name/nm0000707/?ref_=tt_ov_st
360,Shelley Duvall,/name/nm0001167/?ref_=tt_ov_st
361,Marlon Brando,/name/nm0000008/?ref_=tt_ov_st
362,Jodie Foster,/name/nm0000149/?ref_=tt_ov_st
363,Jeff Garlin,/name/nm0307531/?ref_=tt_ov_st
364,Chika Sakamoto,/name/nm0757076/?ref_=tt_ov_st
365,Robert De Niro,/name/nm0000134/?ref_=tt_ov_st
366,Annette Bening,/name/nm0000906/?ref_=tt_ov_st
367,Vera Miles,/name/nm0587256/?ref_=tt_ov_st
368,Tom Wilkinson,/name/nm0929489/?ref_=tt_ov_st
369,Sean Connery,/name/nm0000125/?ref_=tt_ov_st
370,Jake Johnson,/name/nm2159926/?ref_=tt_ov_st
371,Joe Pantoliano,/name/nm0001592/?ref_=tt_ov_st
372,Linda Larkin,/name/nm0488306/?ref_=tt_ov_st
373,Andrew Garfield,/name/nm1940449/?ref_=tt_ov_st
374,Jason Statham,/name/nm0005458/?ref_=tt_ov_st
375,Scott Weinger,/name/nm0918334/?ref_=tt_ov_st
376,Daveigh Chase,/name/nm0153738/?ref_=tt_ov_st
377,Robert Redford,/name/nm0000602/?ref_=tt_ov_st
378,Florence Lee,/name/nm5681967/?ref_=tt_ov_st
379,Jamie Foxx,/name/nm0004937/?ref_=tt_ov_st
380,Sharon Stone,/name/nm0000232/?ref_=tt_ov_st
381,Bill Hader,/name/nm0352778/?ref_=tt_ov_st
382,James Caan,/name/nm0001001/?ref_=tt_ov_st
383,Ellen Burstyn,/name/nm0000995/?ref_=tt_ov_st
384,Manoj Bajpayee,/name/nm0048075/?ref_=tt_ov_st
385,Charles Laughton,/name/nm0001452/?ref_=tt_ov_st
386,Lee J. Cobb,/name/nm0002011/?ref_=tt_ov_st
387,Christian Bale,/name/nm0000288/?ref_=tt_ov_st
388,Claudia Cardinale,/name/nm0001012/?ref_=tt_ov_st
389,Ryo Narita,/name/nm6954008/?ref_=tt_ov_st
390,Zain Al Rafeea,/name/nm9862858/?ref_=tt_ov_st
391,Julie Andrews,/name/nm0000267/?ref_=tt_ov_st
392,Don Rickles,/name/nm0725543/?ref_=tt_ov_st
393,Orson Welles,/name/nm0000080/?ref_=tt_ov_st
394,Cho Yeo-jeong,/name/nm1856097/?ref_=tt_ov_st
395,Ben Burtt,/name/nm0123785/?ref_=tt_ov_st
396,J.K. Simmons,/name/nm0799777/?ref_=tt_ov_st
397,Mona Singh,/name/nm1587175/?ref_=tt_ov_st
398,Javier Bardem,/name/nm0000849/?ref_=tt_ov_st
399,Eric Bana,/name/nm0051509/?ref_=tt_ov_st
400,Anne Bancroft,/name/nm0000843/?ref_=tt_ov_st
401,Anne Le Ny,/name/nm0494504/?ref_=tt_ov_st
402,Lewis Black,/name/nm0085400/?ref_=tt_ov_st
403,Karl Malden,/name/nm0001500/?ref_=tt_ov_st
404,Jessica Chastain,/name/nm1567113/?ref_=tt_ov_st
405,Jacob Tremblay,/name/nm5016878/?ref_=tt_ov_st
406,Catherine Keener,/name/nm0001416/?ref_=tt_ov_st
407,James Mason,/name/nm0000051/?ref_=tt_ov_st
408,Zendaya,/name/nm3918035/?ref_=tt_ov_st
409,Shin'ichi Himori,/name/nm0385443/?ref_=tt_ov_st
410,Chishû Ryû,/name/nm0753479/?ref_=tt_ov_st
411,Brie Larson,/name/nm0488953/?ref_=tt_ov_st
412,Giorgio Cantarini,/name/nm0134493/?ref_=tt_ov_st
413,Matthew Broderick,/name/nm0000111/?ref_=tt_ov_st
414,Madhavan,/name/nm0534856/?ref_=tt_ov_st
415,Thomas Mitchell,/name/nm0593775/?ref_=tt_ov_st
416,Octavia Spencer,/name/nm0818055/?ref_=tt_ov_st
417,Tom Skerritt,/name/nm0000643/?ref_=tt_ov_st
418,Emile Hirsch,/name/nm0386472/?ref_=tt_ov_st
419,Myrna Loy,/name/nm0001485/?ref_=tt_ov_st
